Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-SZ-AAC-003,https://mapafrica.afdb.org/en/projects/46002-P-SZ-AAC-003,"Lower Usuthu Small-holder Irrigation Development Project is designed to support Government’s National Development Strategy by the development of the water resources of the Lower Usuthu Basin and addressing the socio-economic and legal constraints to further irrigation development. It aims the creation of employment, increased incomes,  improved  food  security, minimization of random settlement and natural vegetation burning, intensification of  production, reduced soil erosion, and supplementary input to  livestock feed using farm residues and molasses. In addition,  increased  incomes  through  the  project should indirectly improve health conditions through improved nutrition and possible improvement in water supply and sanitation. The expected outputs are: Under Upstream works, 200m wide concrete diversion weir, Feeder canal of capacity 13 m/s, three dams with reservoir with capacity of 155 million m3, two concrete-lined main canals 5.7 km and 24 Km long constructed as well as secondary and tertiary  distribution  systems  for 6,500  ha  developed. The project comprises four (04) main components, namely: (A) Upstream Works (including construction of 3 dams) and  Distribution System, (B) Downstream Development, (C) Environmental Mitigation, and (D) Project Coordination and Management.","The overall objective of the project it to reduce poverty through increased household income, enhanced food security and improved access to social and health infrastructure for the rural population by creating the conditions for the transformation of subsistence level smallholder farmers into small-scale commercial farmers.","The project is to directly benefit about 2,600 farm families with up to 15,300 members; the majority of whom were between the ages of 20 to 49 years. The direct project beneficiaries constitutes about 70% of the poor in the project area living below the poverty threshold in Eswatini.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SZ-AAC-003
P-MZ-AA0-015,https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-015,"The Rural Financial Intermediation Support Project (RUFISP) is initiated as part of the Rural Finance Support Program to contribute to poverty reduction through the improvement of rural livelihoods existence of rural households. It's consistent with the Bank Group strategy for the promotion of rural finance intermediation, and within the national strategies and policies of the Government of Mozambique. This project should support the establishment of a rural intermediation mechanism that promotes both savings and credit, in addition to the development of the appropriate rural finance infrastructure. Indeed, the widespread availability of micro and rural finance services will have a direct impact on agricultural production and diversified income generating activities for rural folks, which will in turn result in poverty reduction for rural households. The implementation of RUFISP is planned over a period of six years with an estimated total cost of UA 18.64 million. It consists of four main components, namely: A) Capacity and Institution Building, B) Support for Service Expansion, C) Line of Credit, and D) Program Management.",The sector goal is to contribute to poverty reduction by improving the livelihoods of rural households. The Project objective is to improve the access of rural households to sustainable rural financial services.,"The ultimate target groups of the Programme are the subsistence and cash crop farmers individually and in groups, traders and traders groups and associations, artisanal fisher folks, artisans etc. and the entire vast diversity of rural activities that a financial services programme such as this one will serve. Others that will benefit from the Programme are the regulatory bodies and the rural financial intermediaries whose human, regulatory and supervisory, analytical, logistical, technological etc, capacity will be improved to enable them extend outreach and the efficiency with which they provide or support rural finance intermediation.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MZ-AA0-015
P-ET-A00-003,https://mapafrica.afdb.org/en/projects/46002-P-ET-A00-003,"The Agricultural Sector Support Project (ASSP) directly addresses the major aspects of the agriculture issues in Ethiopia through measures that reduce the vulnerability of rural people by focusing on conservation (soil and water) and small-scale irrigation. It sets out a process for ensuring the active participation of both men and women in project activities including significant funds for institutional strengthening and capacity building. Through the measures proposed and with the adoption of water harvesting activities by other rural communities, the food gap should close over time. At the end of the 5-year project, the size of the vulnerable population in the target areas should be significantly reduced. The components of the project are: i) Small-Scale Irrigation; ii) Integrated Ecosystem Management; iii) Crop Development and Marketing; iv) Capacity and Institutional Development; v) Project Coordinating and Management.","The objective of the project is to improve rural livelihoods and food security among the drought-prone and vulnerable food insecure population, through the promotion of SSI and RWH and environmental conservation and capacity development for all stakeholders.","Small Scale Irrigation (SSI) and Rain Water Harvesting (RWH) techniques will benefit rural communities living in the arid and semi-arid drought prone and vulnerable Woredas within the selected Regions. In all, about 28,000 households will benefit from participating in the small scale irrigation, while a total of 58,230 household would benefit from the rain water harvesting (macro catchment soil treatment 23,600), drinking water (23,600), backyard agricultural production (2,950), and livestock ponds (8,080).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-A00-003
P-CV-AA0-009,https://mapafrica.afdb.org/en/projects/46002-P-CV-AA0-009,"The present operation relates to emergency assistance to Drought Victims. It’s designed because of the extent of food insecurity in the drought-affected areas, located in the four agricultural islands, namely the localities of Tarrafal, Porto Novo, Santa Cruz and Quadama. In these localities, the need for water for human and animal consumption is badly felt because of the rainfall deficit. The Government of Cape Verde does not have the resources to assist these people, and like other donors, Bank Group assistance is expected to increase the availability of clean water through 5 wells in the affected communities. The supply of 11 tons of seed is also expected to increase the production of market garden crops and generate income that can contribute to strengthening food security in the affected areas. The operation consists of two main components, namely: (a) construction of boreholes and related infrastructure; and (b) seed supply. The achievements of the operation are: (i) construction of three (3) wells, repair of two (2) wells and related infrastructure for the supply of drinking water; (ii) the supply of about 11 tons of horticultural crop seeds.","The sectoral objective of the operation is to contribute to the improvement of the living conditions of the rural populations. Specifically, the operation aims to reduce the negative effects of drought on populations in the most affected agricultural islands of the country.","The project is expected to benefit the 115,000 affected and directly to a vulnerable farming population estimated at 36,712 people living in the localities of Tarrafal, Porto Novo, Santa Cruz and Quadama.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-CV-AA0-009
P-SN-AAC-002,https://mapafrica.afdb.org/en/projects/46002-P-SN-AAC-002,"The Project to Support Local Small-scale Irrigation  (PAPIL) aims to promote small-scale irrigation at the local level, through rural communities and producer groups. This project should bring about a substantial increase in agricultural production and contribute to poverty alleviation and improve food security. It's designed to produce over 13,000 tons of cereal and raise the farmers’ incomes by as much as 70%, which would allow for significant changes in the households. It should also help improve the balance of payments, as it notably make it possible to reduce rice imports, and thus secure foreign exchangesavings in the order of two billion CFA Francs. The project concerns eight (08) departments in the Fatick, Kolda and Tambacounda regions. Using a participatory approach, it should provide for 120 small structures and development works for the control of run-off water (small dams, weirs, overdeepening of ponds, bottomlands, small irrigated areas, etc), restore over 2,000 ha of deteriorated land, and improve the conditions of living of the populations of the 87 rural communities concerned. The project comprises three main components, namely: A) sustainable irrigation and pastoral development; B) capacity building; and C) project management.",The sector objective of the project is to contribute to food security by developing small-scale irrigation at the local level. The specific objective is to increase agricultural production on a sustainable basis.,"The project beneficiaries are firstly, the 43 villages centering around the Médina Djikoye, Médina Namo and Vélingara Pakane valley development, giving an estimated population of over 18,000. The project implementation should also benefit some 4,000 families in the Fatick region, through the reclamation of saline land and some 400 stockbreeders whose herds should have improved watering conditions. In the Kolda region, the smal-scale water control structures should benefit about 600 familles. In Tambacounda, approximately one thousand women from Kédougou department will be enabled to engage in rice farming, 10 GIE should produce market garden cops and fruits along the Gambia River, and 800 livestockventures will derive benefit from storage structures. The farming activities under the project (primarily, rice and market gardening) are targeting women, who should thus be the prime beneficiaries of the intervention.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SN-AAC-002
P-NE-A00-002,https://mapafrica.afdb.org/en/projects/46002-P-NE-A00-002,"The Diffa Region Local Development Support Project (PADL - DIFFA) is designed to preserve and better organize the agricultural and pastoral activities of the Diffa region. It addresses problems of desertification and proposes to contribute to a more rational management of natural resources that can provide protection to productive areas. The project should help increase the incomes of over 5,000 farms, that is an estimated 31,000 persons and thereby improve the living conditions of the rural communities in this region, through intensified production of the major food and cash crops. The PADL-DIFFA should also reach women in a privileged way and develop the capacities of local communities, which guarantees a decentralized and sustainable rural development that can reduce the poverty index in the region. The total cost of the project, excluding taxes and customs, is estimated at CFAF 13,754 million, or UA 16.86 million. Its main components are: (A) agro-pastoral development works; (B) participatory planning and capacity building; as well as (C) project management.",The sectoral goal of the project is to contribute to food security and reduce poverty in Niger. The specific objective of the project is to improve the conditions of livestock production and increase agricultural output in the Diffa Region on a sustainable basis.,"The project should affect, through its various activities, all the layers and zones of the region. It's estimated that the project directly affect 5,000 agro-pastoral farms representing a total population of about 31,000 people, 55% of whom are women. The beneficiaries of non-agricultural activities are estimated at 51,000 people. In total, the project should reach approximately 82,000 people directly, about 25% of the population of the region.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-NE-A00-002
P-Z1-AAF-002,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAF-002,"Poverty reduced and sustainable socio-economic development achieved through equitable utilization of, and benefit from, the common Nile Basin water resources. Avail the Governments of Uganda and the DRC with a sustainable investment and management plan for the joint use of the water and fisheries resources of Lakes Edward and Albert.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AAF-002
P-ET-AAE-008,https://mapafrica.afdb.org/en/projects/46002-P-ET-AAE-008,,"The specific objective of the study is to prepare a comprehensive and integrated livestock development masterplan that will cover an investment period of 20 years and encompass a dairy, meat, apiculture and draft power sub-masterplan. It will also prepare a prioritised list of potential investment opportunities for the public and private sector and a sector-wide programme comprised of a priority sub-project for each sub-masterplan for possible financing.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AAE-008
P-Z1-AA0-073,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-073,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Nigeria component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-073
P-Z1-AA0-074,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-074,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Sierra Leone component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-074
P-Z1-AA0-072,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-072,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Mali component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-072
P-Z1-AA0-071,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-071,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Guinea component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-071
P-Z1-AA0-070,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-070,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Ghana component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-070
P-Z1-AA0-069,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-069,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Gambia component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-069
P-Z1-AA0-068,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-068,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Benin component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-068
P-Z1-AA0-059,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-059,"The present intervention concerns the Project in Support of Preventive Desert Locust Control in Four CLCPRO Member States (PALPCP-CLCPRO). It aims to contribute to food security and environmental protection in the countries of the Commission for Controlling Desert Locust in the Western Region (CLCPRO). The project is structured around three (03) components, namely: A) capacity building; B) support measures; and C) project management.","The project’s sector goal is to contribute to food security and protection of the environment in member countries of the Commission for Controlling Desert Locust in the Western Region (CLCPRO), following the FAO’s mapping. Specifically, the project aims to prevent desert locust invasions from the gregarization areas of CLCPRO member countries, namely Mauritania, Mali, Chad and Niger.",The main beneficiaries of the project are the populations of four (04) CLCPRO Member States (PALPCP-CLCPRO).,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-059
P-MW-AA0-022,https://mapafrica.afdb.org/en/projects/46002-P-MW-AA0-022,"The present intervention concerns the Project Preparation Facility (PPF) of the Customary Land Reform and Sustainable Rural Livelihood Project. This preparation should help in preparing a technically sound, financially viable, environmentally safe and socially desirable the project. The proposed project is a product of Malawi’s Land Policy, which was approved by the Government in January 2002. By approving the Land Policy, the Government has taken a bold step that could assist in addressing the long neglected needs of the poor and facilitating long-term economic growth through support for improved land administration and enhanced smallholder agricultural productivity. The preparation should facilitate the extensive stakeholder consultations and participation that are required in the elaboration of all of the studies, identification, validation and prioritisation of stakeholder needs, as well as drafting of the preparation report.","The objective of the PPF is to facilitate the preparation of the customary land reform and sustainable rural livelihood project.  The objective of the project is to raise farm incomes by increasing agricultural productivity, thereby contributing to poverty reduction of beneficiary smallholder farmers (including women) in Chradzulu, Kasungu and Rhumpi.",The main beneficiaries of the PPF are the Malawi authorities and local communities.,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MW-AA0-022
P-NG-AA0-025,https://mapafrica.afdb.org/en/projects/46002-P-NG-AA0-025,"The Community Based Agriculture and Rural Development Project is a priority which is consistent with the development objectives of the Government of Nigeria. This project should contribute to the sustainable management of the natural resource base and substantially increase the food production and farm incomes and in the long run contribute to improved household food security and reduction of poverty. As a result of project interventions, incremental production per ha of crops should be 1,620 tonnes for maize; 864 tonnes for Sorghum and Millet; 6,480 tonnes for Cassava; 200 tonnes for Rice; 2,160 tonnes for potatoes; 54 tonnes for cowpeas and groundnuts. The incremental crop production for fadama crops per ha is estimated at 270 tonnes for tomatoes; 675 tonnes for cabbage, 270 tonnes for Okra and 270 tonnes for eggplants. The project comprises four components, namely: (A) Capacity Building; (B) Production Development; (C) Community Development and (D) Project Management and Coordination.",The sector goal is to reduce poverty through the improvement of the livelihood and living conditions of the rural poor. The project objective is to contribute to food security and increased access to rural infrastructure facilities in the project area.,"The main beneficiaries of the project are the populations of the States of Adamawa, Bauchi, Gombe, Kaduna and Niger. The target population includes women and men from poor rural communities. Others beneficiaries are local governments, service providers and NGOs.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-NG-AA0-025
P-NE-AAC-006,https://mapafrica.afdb.org/en/projects/46002-P-NE-AAC-006,"The water mobilization study in the Maradi region, which is the subject of this intervention, fits in perfectly with the Government's policy aimed at strengthening the country's food security and with the overall strategy to fight against poverty and aims at improving the living conditions of the populations. It proposes to develop, for the Maradi region and at the level of the various watersheds, a development program focused on the valorization of sites likely to retain or store surface or underground water, with a view to an increase in plant and / or animal production. At the level of the Goulbi de Maradi Basin, which is a valley with very high agricultural potential, the study should specifically analyze the possibilities of water releases from the Jibiya dam in Nigeria, and this, within the general framework of the cooperation agreement concluded between the two countries in 1990 in Maidugari. Through a method of consultation involving all the actors concerned, the study should give special attention to sites that can be identified by the population and for which development potential exists. The basic principles of the study are based on: (i) an overall management of water resources, at the level of the different watersheds, integrating the transboundary character of certain hydrographic units; (ii) taking into account environmental and social issues, with particular attention to the human aspects of the most vulnerable population groups and, in physical terms, to soil erosion; and (iii) optimal and concerted valorisation of the developed sites, adapted to the situations encountered and answering in the first place to the users' initiatives and expectations.","The sectoral objective of the study is to contribute ultimately to the alleviation of poverty by strengthening food security. The study on water mobilization in the Maradi region has the specific objective of defining a future program of intervention focused on the valorisation of water from existing works (Jibiya dam) or to realize (small dams, thresholds spreading, managed ponds, etc.) and ultimately leading to the development of a project that can be the subject of a request for funding.","This study should benefit the Nigerian authorities, the populations of the Maradi region and the actors in charge of promoting agricultural development in Niger.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-NE-AAC-006
P-Z1-AA0-056,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-056,"This project has been formulated and designed to address Inter-African Coffee Organization (IACO)'s constraints, and it is consistent with organization member Country Government development strategies of poverty reduction and agricultural diversification. It is also in line with Bank Group’s strategy for Agriculture and Rural development in its RMCs. Building the capacity of IACO and its affiliated Coffee Regulatory and Supervisory institutions in quality assurance and marketing and promotion, will strengthen the organization and its member countries to undertake activities that will increase the market share of coffee internationally and domestically. The project has three components: (i) Coffee quality improvement, (ii) Coffee Marketing and Promotion and (iii) Project coordination. The multinational approach will contribute to regional cooperation and build cooperation among coffee producing countries. The project will also lay the foundation for follow up investments in the industry.","The objective of the project is to build capacity of Inter-African Coffee Organization (IACO) and its affiliated Coffee Regulatory and Supervisory institutions in the areas of quality assurance, marketing and export promotion.","The beneficiaries of the project will be quality regulatory institutions affiliated with Coffee Regulatory and Supervisory institutions in the Inter-African Coffee Organization (IACO) member countries, Subject Matter Specialists (SMS) who will be trained in appropriate methods in primary processing of coffee. Coffee farmers and processors will in turn, benefit through training from the trained SMS. IACO will also benefit directly from setting up of an MIS system and training of its staff.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-056
P-Z1-AA0-058,https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-058,"The present intervention concerns the NERICA Rice Dissemination Project (NRDP) [Africa Rice component]. It aims contribute to poverty reduction and food security in seven (7) West African countries (Benin, The Gambia, Ghana, Guinea, Mali, Nigeria and Sierra Leone). The NRDP should organize farmers of the project area into NERICA rice farmers’ groups and unions, in order to assist them in producing quality seeds and competitive commercial rice. They were to be provided with the necessary basic seeds, optimum rice production technologies, supervision, as well as experimentation, production and processing equipment and storage and product marketing infrastructure and post-harvest equipment. The project has four components, namely: a) technology transfer; b) production support; c) capacity building; and d) project coordination.",The project has as sector goal to contribute to poverty reduction and food security in seven (7) West African countries. The project’s specific objective is to enhance rice production and rice import substitution through improved access to high-yielding NERICA rice varieties.,"The primary beneficiaries of the project are rainfed rice farmers in rural communities, with reduced education and training. For the most part, they practice subsistence farming and sell excess production to meet their cash costs, including education, health care and other basic family needs. Nearly 80% of the beneficiaries targeted by the project are women and poor people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-AA0-058
P-ET-AAC-010,https://mapafrica.afdb.org/en/projects/46002-P-ET-AAC-010,,"The overall objective of the study is to provide information for a better understanding of the development challenges in the Awash River Basin area. A full understanding of the basin development constraints and potentials can improve programme formulation and effectiveness to enhance food security, employment and reduce poverty in the Awash River Basin. The specific objectives of the study are to: (i) generate data and information for the analysis of the technical, social, and economic issues important to the formulation and implementation of effective and sustainable flood control and watershed management projects in the Awash Basin; ii) provide proposals to focus development direction and thrust in the basin; and (iii) prepare  at least two viable projects to address the problems of flooding, watershed management, and agricultural production for future financing.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AAC-010
P-ET-A00-002,https://mapafrica.afdb.org/en/projects/46002-P-ET-A00-002,"The present project relates to the Rural Financial Intermediation Project (RFIP). It's designed because of the difficulties experienced by the populations in the rural financial intermediation sector. Indeed, in Ethiopia: (1) access to credit is one of the major constraints for agriculture and rural development, (2) there exist unmet demands for financial services particularly credit as evident from the findings of the study of the state of rural financial intermediaries in 2000, and (3) there exist financial intermediaries such as microfinance institutions (MFIS) and community-based organizations such as rotating savings and credit associations (ROSCAS) but lack adequate loan funds and capacities to deliver demand-driven services to rural households. The RUFIP is therefore initiated to strengthen existing financial intermediaries for effective and sustainable provision of demand-driven financial services to rural households. The project comprises four components namely: (i) institutional development of MFIs and Rural Savings and Credit Cooperative (RUSACCOs); (ii) regulatory framework and supervisory oversight; (iii) Line of credit through Development Bank of Ethiopia (DBE) to eligible MFIs and RUSACCOs, and commercial banks that buy equity in willing MFIs; and (iv) programme coordination and management.",The overall objective of the Rural Financial Intermediation Project (RFIP) is to support the diversification of the income and assets of rural poor households through the establishment of an efficient and sustainable demand-driven financial system.,"The main targeted beneficiaries are rural households particularly the poor rural. Other beneficiaries included the MFIs, Rural Savings and Credit Cooperative (RUSACCOs) and Unions, Federal & Regional Cooperative Promotion Bureaus (FCPB & RCPB), Micro-Finance Supervision Division (MFSD) of National Bank of Ethiopia (NBE), and the Association of Ethiopian Micro-Finance Institutions (AEMFI).",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-A00-002
P-Z1-A00-006,https://mapafrica.afdb.org/en/projects/46002-P-Z1-A00-006,"The Pilot project proposed is a clear response to the call for small-scale, community based solutions to the nefarious effects of recurring droughts and famine in the IGAD region. This pilot phase addresses the poverty situation in the region and seeks to reduce opportunities for conflict between communities caused by lack of water for livestock. It also tries to defeat and reverse the degradation of natural resources in an arid and semi-arid environment, and to contribute to improving the living and working conditions of local pastoralist and agro-pastoralist communities, which are among the most disadvantaged people in the region. This pilot project will enable IGAD to enhance the capability of its member states to combat desertification in the region through the implementation of the sub-regional action plan to which this pilot project responds. The pilot project will be conducted in two phases over 15 months. The total cost is estimated at UA1.22 million. The program that will likely emanate from the Pilot project will foster the rural development of the IGAD region through direct and indirect benefits from an enhanced availability of water through water harvesting interventions.","The overall sector goal of the pilot project is increased food security in the IGAD region. The specific objective of the pilot project is to develop a feasible, viable and sustainable community-based water-harvesting program in the conflict-prone, arid and semi-arid areas of the IGAD region.","The project is expected to benefit the people of the ""Karamoja Territory"" which extends over part of the semi-arid and arid areas of northeastern Uganda, southeastern Sudan, northeastern Kenya and southwestern Ethiopia. According to crude estimates, the total population of the Karamoja cluster is between 1.2 and 1.4 million people.",ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-Z1-A00-006
